Region,Year,age0-9,age10-19,age20-29,age30-39,age40-49,age50-59,age60-69,age70-79,age80+,Total
Fraser,1994,168962,156976,176770,214619,174084,110097,86956,63631,29172,1181267
Fraser,1995,173207,163882,179174,221704,184594,116003,88622,65377,31003,1223566
Fraser,1996,176904,169887,182915,226272,193638,122050,90073,66913,32524,1261176
Fraser,1997,180403,176304,185873,231094,201742,131356,92072,68865,33272,1300981
Fraser,1998,181312,181163,182989,229486,207783,139485,94415,72942,35891,1325466
Fraser,1999,181015,186045,183442,229771,214638,147664,95600,74290,36990,1349455
Fraser,2000,179863,190827,184163,229416,221631,156133,96996,74869,38690,1372588
Fraser,2001,179636,195155,187408,229458,229487,164154,99829,75586,40252,1400965
Fraser,2002,164022,181970,178923,212203,217473,157960,95230,71080,39404,1318265
Fraser,2003,161939,183840,181094,206650,222348,163776,98719,71645,41121,1331132
Fraser,2004,160593,185960,184147,202254,226861,169918,102732,72157,42704,1347326
Fraser,2005,159321,187776,188904,200550,229528,177455,106295,72908,44365,1367102
Fraser,2006,158792,189803,192023,199397,231045,183316,110731,73978,45809,1384894
Fraser,2007,160865,192986,197438,203185,231775,187130,117260,74501,46692,1411832
Fraser,2008,163525,193997,204340,206097,234082,193671,124710,76059,48138,1444619
Fraser,2009,166592,195001,210840,208177,236795,201052,132489,78072,49953,1478971
Fraser,2010,148609,171274,179016,177204,203516,177892,120329,67637,43130,1288607
Fraser,2011,151402,172530,181363,180757,203773,182533,124478,69449,44547,1310832
Fraser,2012,152123,172142,183195,183152,202591,188085,130679,72190,46063,1330220
Fraser,2013,152083,171146,186540,186997,201592,193893,136819,75663,47872,1352605
Fraser,2014,153714,170772,187730,189361,199042,198421,142653,79958,49563,1371214
Interior,1994,80273,84178,71371,97415,89377,64493,59946,43417,18868,609338
Interior,1995,80562,87282,71585,99221,94289,66768,60889,44445,20286,625327
Interior,1996,80414,90501,73074,99503,98543,69165,61935,45622,21282,640039
Interior,1997,79286,90401,73028,97674,100904,73174,62776,47129,21886,646258
Interior,1998,77050,90086,71830,93890,102572,76659,63670,48979,22544,647280
Interior,1999,74528,90018,70455,90462,103813,79757,63746,50057,23115,645951
Interior,2000,71893,90742,69138,87577,105047,83322,64231,50725,24345,647020
Interior,2001,69456,90574,66836,84173,105664,86134,65310,51589,25664,645400
Interior,2002,66552,89607,67682,80881,106283,89357,66688,52419,26801,646270
Interior,2003,64614,87373,68521,77377,106862,92720,69007,53152,27869,647495
Interior,2004,63228,85564,68997,74060,106614,96086,71618,53621,28940,648728
Interior,2005,62508,85234,69752,72775,106327,100148,73794,54143,29882,654563
Interior,2006,62292,85382,70071,72735,105631,104598,76990,54790,31292,663781
Interior,2007,62510,83714,73145,72861,104890,107212,81067,55511,32283,673193
Interior,2008,63881,82672,76217,75844,103734,109780,85166,56440,33542,687276
Interior,2009,64194,81424,79368,77168,102170,111191,88172,57287,34558,695532
Interior,2010,64521,79348,80961,76866,96994,110792,90074,57407,35438,692401
Interior,2011,64022,78149,77652,75060,94660,113351,93650,58982,36804,692330
Interior,2012,63875,76820,77397,75206,91584,114061,96132,60337,38215,693627
Interior,2013,62682,74444,75770,75753,88521,114757,98875,62148,39005,691955
Interior,2014,62631,73511,77235,78601,87454,116680,103509,65176,40124,704921
Island,1994,84235,84545,87242,111141,101181,66695,61313,50496,23487,670335
Island,1995,84320,87264,86934,112605,106526,69878,61271,51607,24920,685325
Island,1996,83663,89231,87376,111855,111002,72828,61305,52468,26112,695840
Island,1997,82412,90815,86432,109764,112835,78477,61648,53618,26868,702869
Island,1998,79900,91170,84612,105862,114061,83211,62311,54777,27515,703419
Island,1999,77327,90918,83075,102237,114805,87431,62501,55370,28376,702040
Island,2000,74448,90615,80855,98888,114969,91464,62790,55423,30030,699482
Island,2001,72015,91474,80030,96088,115460,95782,64020,55525,31545,701939
Island,2002,69631,90941,80509,93159,115997,99874,66396,55413,33245,705165
Island,2003,68260,90185,82221,90101,116415,104165,69277,55493,34888,711005
Island,2004,66681,89318,83885,86879,116606,108648,72994,55434,36352,716797
Island,2005,66301,89328,84755,85295,117036,114089,76783,55556,37783,726926
Island,2006,66106,89573,85925,84641,115713,118808,80744,56103,38833,736446
Island,2007,65722,87935,87390,84566,113689,119414,86426,56079,39828,741049
Island,2008,65987,86395,89850,85511,111599,121300,92026,56815,40490,749973
Island,2009,65975,84574,91714,86145,109172,122625,97004,57674,41257,756140
Island,2010,66212,83027,92260,86339,106848,123681,102057,58717,42277,761418
Island,2011,66645,81184,91944,86293,104026,123860,106037,60143,43270,763402
Island,2012,66641,79910,90849,86732,100988,123996,109622,62148,44134,765020
Island,2013,66282,78350,90474,87468,98059,123833,113606,64844,45126,768042
Island,2014,67191,77135,91922,89895,95665,122799,116701,67906,45776,774990
Metro,1994,95870,98129,151227,167442,138582,86396,70783,51079,27342,886850
Metro,1995,96033,100751,153114,171688,145530,90030,71550,51295,28062,908053
Metro,1996,95908,104947,159350,174528,152215,94334,72284,52318,28303,934187
Metro,1997,97282,107871,161867,176902,155173,99868,72578,53204,29577,954322
Metro,1998,97108,109813,162145,179983,159322,106484,71999,51561,28709,967124
Metro,1999,96262,110466,161101,180605,161180,111878,73405,53645,29794,978336
Metro,2000,95471,110802,159506,181230,163383,117060,74099,55113,31208,987872
Metro,2001,94457,111908,160615,182247,166336,122880,74763,56727,32268,1002201
Metro,2002,106916,128762,170735,193817,185571,143159,83301,62178,36671,1111110
Metro,2003,105798,128803,170667,189890,188393,148328,85436,63044,38008,1118367
Metro,2004,104554,128293,171732,185553,189990,152369,88155,63560,39349,1123555
Metro,2005,103435,128477,174571,182414,191674,156885,90869,64304,40234,1132863
Metro,2006,102892,128074,178387,180364,192599,161714,94675,65072,40950,1144727
Metro,2007,102212,127350,179578,180117,191737,164425,100876,66704,42531,1155530
Metro,2008,101487,125847,181760,177660,189882,165653,105317,66770,43379,1157755
Metro,2009,101992,124944,186286,177501,190121,167542,110088,67181,44351,1170006
Metro,2010,123374,149289,228165,211614,227437,201019,136395,81245,54260,1412798
Metro,2011,122811,148523,227554,212028,226121,203679,142350,82975,55788,1421829
Metro,2012,124140,148911,228523,215634,225315,207625,148903,84975,57725,1441751
Metro,2013,126847,148999,229283,215663,219643,212044,154916,88242,60243,1455880
Metro,2014,125606,147697,229844,216277,215079,214774,159891,91006,62257,1462431
Northern,1994,56236,54086,50204,60906,48035,28685,18044,8757,3332,328285
Northern,1995,56055,55149,50423,61789,50533,30019,18574,9030,3547,335119
Northern,1996,55997,56765,51575,62346,52888,31455,19066,9326,3657,343075
Northern,1997,54791,56606,50790,61066,54197,33569,19521,9830,3783,344153
Northern,1998,53166,55837,48711,58570,54641,34783,19844,10378,3894,339824
Northern,1999,50886,55073,47116,56370,55120,36209,20124,10706,3989,335593
Northern,2000,48647,54853,45179,54395,55384,37876,20442,11238,4254,332268
Northern,2001,46492,54049,43053,51972,55117,38701,20887,11544,4561,326376
Northern,2002,44298,52137,41601,49389,54449,39344,21443,12109,4581,319351
Northern,2003,42609,50712,40914,46764,54401,40853,22305,12632,4748,315938
Northern,2004,41819,50020,41837,45468,54913,42976,23555,13039,4984,318611
Northern,2005,40463,48606,40949,43438,53833,43928,24445,13398,5250,314310
Northern,2006,39525,47682,39905,42162,52431,45192,25288,13811,5847,311843
Northern,2007,38971,46076,40036,40483,50841,46032,26815,13981,6149,309384
Northern,2008,38872,44875,40413,40643,49900,46352,27953,14336,6445,309789
Northern,2009,38410,43814,41498,40779,48688,46633,29105,14469,6634,310030
Northern,2010,38054,43152,41979,40934,47423,46883,30257,14983,7035,310700
Northern,2011,38220,42769,40658,39481,46046,48654,31758,15619,7541,310746
Northern,2012,38194,42082,41580,39599,44930,49127,32836,16106,8236,312690
Northern,2013,38008,40949,42242,40086,43728,49504,33890,16681,8408,313496
Northern,2014,38689,40586,43401,41312,42856,49422,34956,17425,9099,317746
BC,1994,485576,477914,536814,651523,551259,356366,297042,217380,102201,3676075
BC,1995,490177,494328,541230,667007,581472,372698,300906,221754,107818,3777390
BC,1996,492886,511331,554290,674504,608286,389832,304663,226647,111878,3874317
BC,1997,494174,521997,557990,676500,624851,416444,308595,232646,115386,3948583
BC,1998,488536,528069,550287,667791,638379,440622,312239,238637,118553,3983113
BC,1999,480018,532520,545189,659445,649556,462939,315376,244068,122264,4011375
BC,2000,470322,537839,538841,651506,660414,485855,318558,247368,128527,4039230
BC,2001,462056,543160,537942,643938,672064,507651,324809,250971,134290,4076881
BC,2002,451419,543417,539450,629449,679773,529694,333058,253199,140702,4100161
BC,2003,443220,540913,543417,610782,688419,549842,344744,255966,146634,4123937
BC,2004,436875,539155,550598,594214,694984,569997,359054,257811,152329,4155017
BC,2005,432028,539421,558931,584472,698398,592505,372186,260309,157514,4195764
BC,2006,429607,540514,566311,579299,697419,613628,388428,263754,162731,4241691
BC,2007,430280,538061,577587,581212,692932,624213,412444,266776,167483,4290988
BC,2008,433752,533786,592580,585755,689197,636756,435172,270420,171994,4349412
BC,2009,437163,529757,609706,589770,686946,649043,456858,274683,176753,4410679
BC,2010,440770,526090,622381,592957,682218,660267,479112,279989,182140,4465924
BC,2011,443100,523155,619171,593619,674626,672077,498273,287168,187950,4499139
BC,2012,444973,519865,621544,600323,665408,682894,518172,295756,194373,4543308
BC,2013,445902,513888,624309,605967,651543,694031,538106,307578,200654,4581978
BC,2014,447831,509701,630132,615446,640096,702096,557710,321471,206819,4631302
